time,episode,winLose,score,idle_production_time,idle_worker_time,total_value_units,total_value_structures,killed_value_units,killed_value_structures,collected_minerals,collected_vespene,collection_rate_minerals,collection_rate_vespene,spent_minerals,spent_vespene
24_04_2021 00h00min56seg,226,-1,3235,322,18,600,400,0,0,2585,0,671,0,0,0
24_04_2021 00h01min13seg,227,-1,3065,299,3,600,400,0,0,2415,0,699,0,0,0
24_04_2021 00h01min33seg,228,-1,2830,385,10,600,400,0,0,2980,0,391,0,500,0
24_04_2021 00h01min52seg,229,-1,2480,384,208,600,500,0,0,2530,0,83,0,100,0
24_04_2021 00h02min12seg,230,-1,2895,399,302,600,500,0,0,2895,0,391,0,300,0
24_04_2021 00h02min29seg,231,-1,3320,333,26,600,400,0,0,2670,0,699,0,0,0
24_04_2021 00h02min54seg,232,-1,1350,656,785,1000,800,150,0,2300,0,0,0,1000,0
24_04_2021 00h03min14seg,233,-1,3870,407,9,600,400,0,0,3270,0,559,0,0,0
24_04_2021 00h03min34seg,234,-1,2355,411,289,600,500,0,0,2855,0,195,0,700,0
24_04_2021 00h03min53seg,235,-1,2110,371,184,600,500,0,0,2510,0,139,0,500,0
24_04_2021 00h04min15seg,236,-1,3700,452,286,600,500,0,0,3250,0,587,0,100,0
24_04_2021 00h04min32seg,237,-1,3045,313,15,600,400,0,0,2495,0,587,0,0,0
24_04_2021 00h04min50seg,238,-1,3315,341,6,600,400,0,0,2715,0,615,0,0,0
24_04_2021 00h05min09seg,239,-1,2640,340,11,600,400,0,0,2540,0,419,0,300,0
24_04_2021 00h05min28seg,240,-1,3785,391,18,600,400,0,0,3135,0,727,0,0,0
24_04_2021 00h05min44seg,241,-1,2890,307,14,600,400,0,0,2340,0,587,0,0,0
24_04_2021 00h06min03seg,242,-1,1870,374,26,600,500,0,0,2520,0,27,0,700,0
24_04_2021 00h06min26seg,243,-1,1560,743,677,600,800,0,0,1910,0,0,0,400,0
24_04_2021 00h06min44seg,244,-1,3290,346,14,600,400,0,0,2740,0,587,0,0,0
24_04_2021 00h07min02seg,245,-1,2990,341,122,600,500,0,0,2540,0,559,0,100,0
