time,episode,winLose,score,idle_production_time,idle_worker_time,total_value_units,total_value_structures,killed_value_units,killed_value_structures,collected_minerals,collected_vespene,collection_rate_minerals,collection_rate_vespene,spent_minerals,spent_vespene,StepsInEpisode
26_04_2021 18h46min59seg,198,-1,5781,591,838,750,775,0,0,5380,276,0,0,525,0,10940
26_04_2021 18h47min26seg,199,-1,4234,551,0,600,475,0,0,3895,364,0,0,75,0,9040
26_04_2021 18h48min18seg,200,-1,6810,1066,705,750,1150,0,0,7010,0,0,0,900,0,15340
26_04_2021 18h48min45seg,201,-1,4766,479,254,700,475,0,0,3995,296,0,0,175,0,8620
26_04_2021 18h49min16seg,202,-1,6348,604,124,750,475,0,0,5585,188,307,22,225,0,10640
26_04_2021 18h49min50seg,203,-1,5200,645,660,600,700,0,0,4850,0,0,0,300,0,10720
26_04_2021 18h50min20seg,204,-1,6125,606,0,750,400,0,0,5475,0,839,0,150,0,10520
26_04_2021 18h50min49seg,205,-1,5630,628,0,600,400,0,0,5080,0,615,0,0,0,10060
26_04_2021 18h51min16seg,206,-1,4186,447,656,750,675,0,0,4345,316,0,0,1025,0,8820
26_04_2021 18h52min02seg,207,-1,1620,877,8345,2200,1150,375,0,3220,0,0,0,2350,0,13400
26_04_2021 18h52min30seg,208,-1,5575,319,299,1100,500,0,0,5025,0,363,0,600,0,8000
26_04_2021 18h52min57seg,209,-1,5010,455,596,750,700,0,0,4710,0,0,0,450,0,8620
26_04_2021 18h53min29seg,210,-1,2630,1678,2756,600,1125,0,0,2905,0,0,0,875,0,10160
26_04_2021 18h54min04seg,211,-1,6343,585,463,800,775,0,0,5440,728,0,0,575,0,11040
26_04_2021 18h54min31seg,212,-1,3914,429,967,700,775,0,0,3575,64,0,0,475,0,8560
26_04_2021 18h54min59seg,213,-1,5453,357,679,1000,675,0,0,4550,528,0,0,675,0,8460
26_04_2021 18h55min29seg,214,-1,6305,597,17,750,400,0,0,5655,0,811,0,150,0,10400
26_04_2021 18h55min53seg,215,-1,4552,492,140,600,475,0,0,3745,232,83,22,75,0,8100
26_04_2021 18h56min20seg,216,-1,3195,500,542,600,700,0,0,3895,0,0,0,1000,0,8740
26_04_2021 18h56min48seg,217,-1,3241,506,1441,600,775,0,0,3170,196,0,0,675,0,9100
26_04_2021 18h57min20seg,218,-1,4685,598,139,750,700,0,0,5285,0,0,0,800,0,10860
26_04_2021 18h57min49seg,219,-1,5485,620,192,600,500,0,0,4935,0,503,0,100,0,10020
26_04_2021 18h58min13seg,220,-1,4815,456,7,750,400,0,0,4165,0,867,0,150,0,8120
26_04_2021 18h58min38seg,221,-1,4870,493,5,650,400,0,0,4370,0,559,0,50,0,8180
26_04_2021 18h59min11seg,222,-1,4819,605,2100,1200,1075,0,0,4530,364,0,0,1275,0,9660
26_04_2021 18h59min39seg,223,-1,4400,515,459,600,700,0,0,4050,0,0,0,300,0,8780
26_04_2021 19h00min05seg,224,-1,4420,495,231,600,600,0,0,3970,0,0,0,200,0,8280
26_04_2021 19h00min29seg,225,-1,4795,513,4,600,400,0,0,4145,0,671,0,0,0,8220
26_04_2021 19h00min56seg,226,-1,4765,492,1,750,400,0,0,4765,0,251,0,150,0,8700
26_04_2021 19h01min22seg,227,-1,4236,501,341,600,575,0,0,3915,96,0,0,375,0,8560
26_04_2021 19h01min49seg,228,-1,3930,519,1155,600,700,0,0,3580,0,0,0,300,0,8860
26_04_2021 19h02min12seg,229,-1,5230,415,4,750,400,0,0,4580,0,923,0,150,0,7460
26_04_2021 19h03min00seg,230,-1,8606,849,24,750,475,0,0,8115,16,559,22,225,0,14460
26_04_2021 19h03min25seg,231,-1,4635,441,158,750,475,0,0,3820,240,111,22,225,0,8080
26_04_2021 19h03min53seg,232,-1,3995,444,913,750,700,0,0,4645,0,0,0,1150,0,8740
26_04_2021 19h04min18seg,233,-1,5030,467,17,750,400,0,0,4380,0,867,0,150,0,8320
26_04_2021 19h04min48seg,234,-1,5830,656,11,600,400,0,0,5280,0,615,0,0,0,10520
26_04_2021 19h05min17seg,235,-1,5880,643,13,600,400,0,0,5230,0,727,0,0,0,10320
26_04_2021 19h05min41seg,236,-1,5000,453,7,750,400,0,0,4350,0,839,0,150,0,8080
26_04_2021 19h06min06seg,237,-1,5460,489,7,700,400,0,0,4810,0,783,0,100,0,8380
26_04_2021 19h06min39seg,238,-1,5845,604,237,750,475,0,0,5470,200,0,0,325,0,10880
26_04_2021 19h07min08seg,239,-1,5583,621,106,600,475,0,0,4940,68,167,22,75,0,10100
26_04_2021 19h07min34seg,240,-1,4792,522,140,600,475,0,0,3865,352,83,0,75,0,8580
26_04_2021 19h08min04seg,241,-1,6610,567,5,750,400,0,0,5960,0,783,0,150,0,9900
26_04_2021 19h08min34seg,242,-1,6330,589,1,750,400,0,0,5980,0,671,0,150,0,10240
26_04_2021 19h09min06seg,243,-1,3325,824,2375,800,1150,0,0,3575,0,0,0,950,0,10160
