time,episode,winLose,score,idle_production_time,idle_worker_time,total_value_units,total_value_structures,killed_value_units,killed_value_structures,collected_minerals,collected_vespene,collection_rate_minerals,collection_rate_vespene,spent_minerals,spent_vespene,StepsInEpisode
27_04_2021 13h13min35seg,107,0,13796,1630,2536,1100,775,0,0,11930,816,363,67,875,0,28800
27_04_2021 13h15min03seg,108,0,12809,1749,2384,750,475,0,0,10795,964,0,67,225,0,28800
27_04_2021 13h16min29seg,109,0,11850,1630,5262,1100,700,0,0,10800,0,0,0,800,0,28800
27_04_2021 13h17min07seg,110,1,5487,826,732,1150,1025,50,400,4855,132,811,44,1725,0,9280
27_04_2021 13h18min05seg,111,1,9775,856,2511,1950,1225,150,400,8295,980,615,44,2725,0,15400
27_04_2021 13h19min36seg,112,0,13651,2529,1000,900,1025,0,0,11145,1456,139,156,1025,50,28800
27_04_2021 13h21min10seg,113,0,11528,5343,4289,600,1125,0,0,10110,368,475,0,725,0,28800
27_04_2021 13h22min46seg,114,0,12581,5610,227,1950,1225,0,0,10795,736,0,179,2175,0,28800
27_04_2021 13h24min13seg,115,0,12969,1766,2879,700,475,0,0,10795,1124,0,67,175,0,28800
27_04_2021 13h25min42seg,116,0,12534,1749,4043,750,475,0,0,10800,684,0,156,225,0,28800
27_04_2021 13h27min11seg,117,0,12858,1749,5265,750,475,0,0,10800,1008,0,67,225,0,28800
27_04_2021 13h28min39seg,118,0,12745,2784,3425,600,1225,0,0,10795,900,0,67,825,0,28800
27_04_2021 13h30min10seg,119,0,11875,3816,3135,600,1150,0,0,10825,0,83,0,750,0,28800
27_04_2021 13h31min39seg,120,0,12518,2182,4655,750,1225,0,0,10800,668,0,134,975,0,28800
27_04_2021 13h33min05seg,121,0,12833,1783,115,650,575,0,0,11295,588,139,0,425,0,28800
27_04_2021 13h34min37seg,122,0,12255,1647,4291,1050,700,0,0,11205,0,139,0,750,0,28800
27_04_2021 13h36min09seg,123,0,14073,1613,10689,1150,775,0,0,10795,2228,0,156,925,0,28800
27_04_2021 13h37min40seg,124,0,13222,2585,3829,1100,1225,0,0,10800,1372,0,179,1325,0,28800
27_04_2021 13h39min12seg,125,0,12666,4191,4957,650,1375,0,0,10760,856,167,44,975,50,28800
27_04_2021 13h40min43seg,126,0,11850,1800,1813,600,400,0,0,10800,0,0,0,0,0,28800
27_04_2021 13h42min08seg,127,0,11922,1800,3267,600,775,0,0,10800,72,0,67,375,0,28800
27_04_2021 13h43min40seg,128,0,13325,1749,1072,750,475,0,0,10995,1280,27,156,225,0,28800
27_04_2021 13h45min14seg,129,0,14039,3975,5508,1150,1025,0,0,10945,2044,223,156,1125,50,28800
27_04_2021 13h46min43seg,130,0,12050,2301,3908,1900,1375,0,0,10920,80,251,67,2225,50,28800
